,State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,New column
1868,NM,68,408,No,No,0,131.6,89.0,22.37,137.0,109.0,11.65,256.3,107.0,11.53,10.2,5,2.75,3.0,False,33.9
1869,HI,86,408,No,Yes,21,197.9,99.0,33.64,165.6,100.0,14.08,208.0,120.0,9.36,10.1,9,2.73,0.0,False,43.0
1870,KY,131,415,No,No,0,166.5,129.0,28.31,210.2,107.0,17.87,257.2,93.0,11.57,9.9,5,2.67,1.0,False,39.879999999999995
1871,OH,86,415,No,Yes,29,225.4,79.0,38.32,187.1,112.0,15.9,281.1,112.0,12.65,12.9,3,3.48,1.0,False,50.97
1872,VT,159,415,No,No,0,275.8,103.0,46.89,189.5,108.0,16.11,223.9,93.0,10.08,7.4,5,2.0,2.0,True,56.97
1873,AZ,134,415,No,Yes,40,142.9,105.0,24.29,88.6,61.0,7.53,290.0,96.0,13.05,10.8,6,2.92,1.0,False,37.34
1874,VT,113,510,No,No,0,207.2,113.0,35.22,256.0,80.0,21.76,211.0,87.0,9.49,9.9,1,2.67,1.0,False,44.71
1875,MO,132,408,No,No,0,206.2,100.0,35.05,211.2,118.0,17.95,196.2,122.0,8.83,10.2,6,2.75,1.0,False,43.879999999999995
1876,AL,85,415,No,No,0,210.3,66.0,35.75,195.8,76.0,16.64,221.6,82.0,9.97,11.2,7,3.02,1.0,False,45.72
1877,NJ,93,510,Yes,Yes,38,225.7,117.0,38.37,119.6,122.0,10.17,193.2,125.0,8.69,14.0,7,3.78,1.0,True,47.059999999999995
1878,WA,174,408,No,Yes,33,167.8,91.0,28.53,205.3,91.0,17.45,130.0,132.0,5.85,14.5,4,3.92,4.0,True,34.38
1879,NY,61,415,No,No,0,197.7,118.0,33.61,152.2,96.0,12.94,221.0,93.0,9.95,7.0,3,1.89,2.0,False,43.56
1880,DC,91,415,No,Yes,39,169.8,105.0,28.87,65.2,116.0,5.54,144.4,92.0,6.5,10.9,4,2.94,1.0,False,35.370000000000005
1881,NE,88,408,No,Yes,28,190.6,104.0,32.4,237.3,105.0,20.17,211.6,116.0,9.52,9.8,1,2.65,2.0,False,41.92
1882,MA,88,408,No,Yes,45,80.3,140.0,13.65,153.3,101.0,13.03,309.2,123.0,13.91,12.8,3,3.46,2.0,False,27.560000000000002
1883,VT,195,415,No,Yes,36,231.7,110.0,39.39,225.1,88.0,19.13,201.7,89.0,9.08,12.1,2,3.27,0.0,False,48.47
1884,NM,182,415,No,No,0,69.1,114.0,11.75,230.3,109.0,19.58,256.7,96.0,11.55,6.5,4,1.76,0.0,False,23.3
1885,CO,118,408,No,No,0,188.8,60.0,32.1,217.4,64.0,18.48,220.1,100.0,9.9,8.2,7,2.21,4.0,False,42.0
1886,NH,103,408,No,No,0,150.6,125.0,25.6,169.1,126.0,14.37,221.2,104.0,9.95,10.4,8,2.81,8.0,True,35.55
1887,IL,65,510,No,No,0,192.0,89.0,32.64,139.5,88.0,11.86,187.4,102.0,8.43,5.5,4,1.49,2.0,False,41.07
1888,UT,61,408,No,Yes,25,163.7,78.0,27.83,113.2,112.0,9.62,134.1,118.0,6.03,9.9,3,2.67,3.0,False,33.86
1889,WV,172,415,No,No,0,211.7,100.0,35.99,198.7,101.0,16.89,301.7,136.0,13.58,6.5,9,1.76,1.0,False,49.57
1890,NJ,72,415,No,No,0,175.5,103.0,29.84,132.3,120.0,11.25,242.9,96.0,10.93,11.8,3,3.19,1.0,False,40.769999999999996
1891,NM,113,510,No,No,0,150.1,120.0,25.52,200.1,85.0,17.01,266.7,105.0,12.0,11.0,3,2.97,2.0,False,37.519999999999996
1892,ND,177,408,No,No,0,189.5,99.0,32.22,176.3,117.0,14.99,225.9,112.0,10.17,14.2,2,3.83,1.0,False,42.39
1893,WA,100,408,No,No,0,70.8,94.0,12.04,215.6,102.0,18.33,230.8,125.0,10.39,9.5,1,2.57,6.0,True,22.43
1894,NM,67,415,No,No,0,215.5,102.0,36.64,190.7,95.0,16.21,214.5,106.0,9.65,8.6,6,2.32,1.0,False,46.29
1895,DE,136,415,No,No,0,101.7,105.0,17.29,202.8,99.0,17.24,136.2,119.0,6.13,9.4,6,2.54,3.0,False,23.419999999999998
1896,GA,71,415,No,No,0,258.4,132.0,43.93,126.8,119.0,10.78,182.4,87.0,8.21,9.7,8,2.62,4.0,False,52.14
1897,HI,134,408,No,No,0,242.4,126.0,41.21,152.9,115.0,13.0,318.3,115.0,14.32,11.8,6,3.19,1.0,False,55.53
1898,CT,124,415,No,No,0,131.8,82.0,22.41,284.3,119.0,24.17,305.5,101.0,13.75,11.3,2,3.05,1.0,False,36.16
1899,NJ,84,415,No,No,0,190.2,102.0,32.33,197.7,141.0,16.8,247.5,102.0,11.14,9.8,6,2.65,2.0,False,43.47
1900,ME,39,408,No,No,0,154.1,104.0,26.2,204.2,112.0,17.36,196.2,92.0,8.83,9.8,4,2.65,2.0,False,35.03
1901,OK,110,510,No,No,0,188.0,127.0,31.96,90.5,118.0,7.69,150.3,64.0,6.76,15.3,3,4.13,3.0,False,38.72
1902,TN,102,510,No,No,0,103.1,70.0,17.53,275.0,129.0,23.38,141.1,92.0,6.35,11.2,5,3.02,1.0,False,23.880000000000003
1903,WY,70,415,No,No,0,175.4,130.0,29.82,159.5,130.0,13.56,260.6,96.0,11.73,11.6,4,3.13,0.0,False,41.55
1904,NY,142,415,No,No,0,145.4,93.0,24.72,209.1,98.0,17.77,214.0,96.0,9.63,10.9,1,2.94,1.0,False,34.35
1905,DE,81,510,Yes,No,0,250.6,85.0,42.6,187.9,50.0,15.97,120.3,131.0,5.41,7.8,5,2.11,1.0,False,48.010000000000005
1906,RI,17,415,No,No,0,161.5,123.0,27.46,214.2,81.0,18.21,315.0,106.0,14.18,8.6,5,2.32,1.0,False,41.64
1907,PA,119,408,No,No,0,260.1,101.0,44.22,256.5,68.0,21.8,229.1,89.0,10.31,10.0,2,2.7,1.0,True,54.53
1908,HI,105,415,No,No,0,281.3,124.0,47.82,301.5,96.0,25.63,202.8,109.0,9.13,8.7,3,2.35,0.0,True,56.95
1909,MD,108,415,Yes,Yes,42,130.1,90.0,22.12,167.0,128.0,14.2,244.7,80.0,11.01,13.6,5,3.67,3.0,True,33.13
1910,VA,90,415,No,No,0,102.0,118.0,17.34,113.3,134.0,9.63,188.6,105.0,8.49,11.4,3,3.08,2.0,False,25.83
1911,IN,100,415,No,Yes,33,218.7,104.0,37.18,155.0,144.0,13.18,99.0,117.0,4.46,12.1,4,3.27,1.0,False,41.64
1912,OR,155,408,No,Yes,30,128.5,86.0,21.85,188.4,91.0,16.01,254.4,85.0,11.45,6.8,6,1.84,1.0,False,33.3
1913,AZ,113,510,No,No,0,128.7,100.0,21.88,227.1,67.0,19.3,178.1,135.0,8.01,9.2,4,2.48,2.0,True,29.89
1914,WI,123,415,No,No,0,172.2,92.0,29.27,162.6,76.0,13.82,250.3,101.0,11.26,8.7,4,2.35,1.0,False,40.53
1915,VA,145,408,No,No,0,199.2,124.0,33.86,126.0,86.0,10.71,289.2,135.0,13.01,7.6,3,2.05,1.0,False,46.87
1916,MO,42,415,No,No,0,184.5,98.0,31.37,200.5,93.0,17.04,279.2,91.0,12.56,8.8,3,2.38,2.0,False,43.93
1917,NV,125,510,No,No,0,168.6,99.0,28.66,175.6,107.0,14.93,243.3,92.0,10.95,10.9,7,2.94,0.0,False,39.61
1918,HI,131,415,No,Yes,30,174.0,118.0,29.58,205.3,81.0,17.45,218.2,90.0,9.82,6.7,3,1.81,1.0,False,39.4
1919,WA,107,415,No,No,0,230.4,65.0,39.17,257.4,80.0,21.88,107.3,88.0,4.83,8.5,3,2.3,1.0,False,44.0
1920,IL,48,408,No,No,0,198.2,73.0,33.69,202.8,115.0,17.24,146.4,73.0,6.59,5.1,5,1.38,1.0,False,40.28
1921,IL,76,510,No,No,0,186.1,96.0,31.64,211.6,100.0,17.99,230.6,100.0,10.38,8.0,4,2.16,0.0,False,42.02
1922,LA,128,415,No,No,0,148.5,105.0,25.25,243.0,106.0,20.66,255.2,114.0,11.48,6.8,2,1.84,1.0,False,36.730000000000004
1923,WI,73,415,No,No,0,157.1,109.0,26.71,268.8,83.0,22.85,181.5,91.0,8.17,10.0,8,2.7,0.0,False,34.88
1924,TX,52,415,No,No,0,155.0,110.0,26.35,133.4,104.0,11.34,176.1,84.0,7.92,7.0,4,1.89,4.0,True,34.27
1925,MI,126,415,Yes,Yes,26,129.3,123.0,21.98,176.5,114.0,15.0,154.5,102.0,6.95,9.6,7,2.59,1.0,False,28.93
1926,NC,124,415,No,No,0,188.5,77.0,32.05,182.0,123.0,15.47,218.2,127.0,9.82,6.1,6,1.65,1.0,False,41.87
1927,WA,137,408,No,No,0,208.8,120.0,35.5,225.3,100.0,19.15,221.6,130.0,9.97,11.1,5,3.0,0.0,False,45.47
1928,ND,71,510,No,No,0,238.0,82.0,40.46,278.5,94.0,23.67,193.1,134.0,8.69,11.8,10,3.19,0.0,True,49.15
1929,NE,139,415,No,No,0,211.1,103.0,35.89,206.9,108.0,17.59,193.9,70.0,8.73,5.6,4,1.51,0.0,False,44.620000000000005
1930,MS,107,510,No,Yes,30,198.9,87.0,33.81,207.0,90.0,17.6,159.8,76.0,7.19,12.6,4,3.4,3.0,False,41.0
1931,KY,147,408,No,No,0,212.8,79.0,36.18,204.1,91.0,17.35,156.2,113.0,7.03,10.2,2,2.75,1.0,False,43.21
1932,RI,116,510,No,No,0,137.4,126.0,23.36,120.0,94.0,10.2,130.3,64.0,5.86,12.4,2,3.35,3.0,False,29.22
1933,NY,60,510,No,Yes,31,191.8,75.0,32.61,267.8,135.0,22.76,200.5,62.0,9.02,12.8,3,3.46,2.0,False,41.629999999999995
1934,TX,38,510,No,No,0,149.0,92.0,25.33,49.2,78.0,4.18,163.3,93.0,7.35,13.9,11,3.75,0.0,False,32.68
1935,DE,63,408,No,No,0,117.1,118.0,19.91,249.6,90.0,21.22,162.2,84.0,7.3,11.1,4,3.0,3.0,False,27.21
1936,NM,94,415,No,No,0,108.0,79.0,18.36,241.9,152.0,20.56,252.1,92.0,11.34,10.4,3,2.81,3.0,False,29.7
1937,RI,131,415,No,No,0,112.8,133.0,19.18,199.4,116.0,16.95,142.7,105.0,6.42,10.1,5,2.73,0.0,False,25.6
1938,MS,158,510,No,No,0,175.9,105.0,29.9,188.3,88.0,16.01,188.3,98.0,8.47,11.0,6,2.97,1.0,False,38.37
1939,NY,139,510,No,No,0,236.6,109.0,40.22,169.9,107.0,14.44,212.3,118.0,9.55,11.1,2,3.0,1.0,True,49.769999999999996
1940,NE,77,415,No,No,0,169.4,102.0,28.8,184.9,144.0,15.72,234.3,89.0,10.54,2.0,7,0.54,1.0,False,39.34
1941,WI,140,415,No,No,0,129.6,79.0,22.03,246.2,99.0,20.93,172.1,124.0,7.74,9.4,10,2.54,3.0,False,29.770000000000003
1942,KY,72,408,No,No,0,177.1,97.0,30.11,184.7,105.0,15.7,174.1,94.0,7.83,8.0,6,2.16,1.0,False,37.94
1943,SD,52,510,No,Yes,20,133.3,63.0,22.66,184.1,123.0,15.65,272.9,107.0,12.28,13.5,2,3.65,1.0,False,34.94
1944,VA,103,510,No,No,0,167.8,121.0,28.53,212.9,123.0,18.1,208.2,73.0,9.37,13.0,3,3.51,5.0,False,37.9
1945,KS,74,415,No,Yes,32,174.6,107.0,29.68,310.6,115.0,26.4,234.7,92.0,10.56,9.0,4,2.43,1.0,False,40.24
1946,ND,124,415,No,No,0,150.3,101.0,25.55,255.9,112.0,21.75,136.7,62.0,6.15,12.5,4,3.38,2.0,False,31.700000000000003
1947,CO,85,510,No,Yes,21,283.2,110.0,48.14,239.7,108.0,20.37,149.5,80.0,6.73,6.3,1,1.7,5.0,False,54.870000000000005
1948,KY,113,408,No,Yes,20,157.8,83.0,26.83,161.5,56.0,13.73,271.5,100.0,12.22,8.7,2,2.35,5.0,True,39.05
1949,WA,71,408,No,No,0,141.2,132.0,24.0,149.1,90.0,12.67,171.4,72.0,7.71,7.0,2,1.89,2.0,False,31.71
1950,NV,177,415,No,Yes,27,230.2,106.0,39.13,196.1,78.0,16.67,215.4,108.0,9.69,10.4,2,2.81,1.0,False,48.82
1951,SC,49,415,Yes,No,0,237.8,92.0,40.43,208.9,119.0,17.76,167.8,86.0,7.55,15.6,6,4.21,2.0,True,47.98
1952,RI,106,510,Yes,No,0,204.0,84.0,34.68,168.5,61.0,14.32,164.0,102.0,7.38,13.3,3,3.59,3.0,True,42.06
1953,ID,60,510,No,No,0,221.1,106.0,37.59,178.6,48.0,15.18,202.7,90.0,9.12,7.4,3,2.0,1.0,False,46.71
1954,KY,43,408,No,No,0,177.2,93.0,30.12,142.6,60.0,12.12,314.1,144.0,14.13,12.7,2,3.43,4.0,False,44.25
1955,ME,66,510,No,No,0,118.0,133.0,20.06,248.1,99.0,21.09,214.4,122.0,9.65,5.3,5,1.43,1.0,False,29.71
1956,SD,125,415,No,No,0,163.8,73.0,27.85,255.6,85.0,21.73,192.9,95.0,8.68,15.7,4,4.24,0.0,False,36.53
1957,SC,114,510,No,Yes,4,141.3,96.0,24.02,230.4,88.0,19.58,223.7,85.0,10.07,9.4,3,2.54,3.0,False,34.09
1958,TN,112,415,No,No,0,272.5,119.0,46.33,226.1,94.0,19.22,159.1,94.0,7.16,16.4,5,4.43,3.0,True,53.489999999999995
1959,MT,101,408,No,Yes,16,118.9,112.0,20.21,228.3,97.0,19.41,180.1,111.0,8.1,8.2,5,2.21,2.0,False,28.310000000000002
1960,WI,70,415,No,No,0,7.9,100.0,1.34,136.4,83.0,11.59,156.6,89.0,7.05,12.1,1,3.27,0.0,False,8.39
1961,AK,59,408,No,No,0,159.5,96.0,27.12,167.2,123.0,14.21,138.6,106.0,6.24,10.2,4,2.75,0.0,False,33.36
1962,AZ,59,408,No,No,0,150.2,70.0,25.53,185.7,98.0,15.78,212.5,128.0,9.56,12.1,2,3.27,1.0,False,35.09
1963,MT,124,415,No,Yes,30,144.5,35.0,24.57,262.3,101.0,22.3,226.5,82.0,10.19,12.0,7,3.24,2.0,False,34.76
1964,DE,99,415,No,No,0,140.7,88.0,23.92,210.9,98.0,17.93,229.9,125.0,10.35,12.4,4,3.35,2.0,False,34.27
1965,VA,150,510,No,No,0,169.2,123.0,28.76,216.8,83.0,18.43,179.4,107.0,8.07,12.6,3,3.4,1.0,False,36.83
1966,MA,81,510,No,No,0,220.8,77.0,37.54,148.5,87.0,12.62,183.9,100.0,8.28,7.6,3,2.05,2.0,False,45.82
1967,IN,86,510,No,No,0,216.3,96.0,36.77,266.3,77.0,22.64,214.0,110.0,9.63,4.5,3,1.22,0.0,False,46.400000000000006
1968,MD,84,510,No,No,0,169.5,96.0,28.82,157.6,94.0,13.4,98.2,70.0,4.42,10.6,7,2.86,0.0,False,33.24
1969,NV,118,510,No,Yes,35,256.3,119.0,43.57,258.1,91.0,21.94,215.5,130.0,9.7,11.7,1,3.16,1.0,False,53.269999999999996
1970,CO,89,415,No,No,0,179.7,128.0,30.55,299.8,92.0,25.48,185.3,120.0,8.34,7.6,3,2.05,1.0,False,38.89
1971,KS,93,415,No,No,0,266.0,120.0,45.22,130.1,84.0,11.06,165.8,63.0,7.46,13.1,6,3.54,3.0,False,52.68
1972,AR,85,415,No,No,0,96.7,97.0,16.44,193.8,95.0,16.47,171.7,88.0,7.73,9.7,3,2.62,2.0,False,24.17
1973,WY,160,408,No,No,0,82.7,116.0,14.06,194.6,95.0,16.54,159.0,54.0,7.15,10.9,9,2.94,0.0,False,21.21
1974,PA,28,415,No,No,0,168.2,87.0,28.59,161.7,92.0,13.74,192.4,112.0,8.66,10.1,3,2.73,3.0,False,37.25
1975,TX,73,408,No,No,0,286.4,109.0,48.69,178.2,67.0,15.15,214.2,152.0,9.64,10.7,14,2.89,1.0,True,58.33
1976,NY,156,408,No,No,0,174.3,95.0,29.63,186.6,128.0,15.86,258.2,105.0,11.62,12.9,5,3.48,3.0,False,41.25
1977,OR,33,415,Yes,No,0,190.6,100.0,32.4,161.7,104.0,13.74,189.9,136.0,8.55,13.0,6,3.51,1.0,False,40.95
1978,CA,77,510,No,No,0,175.5,86.0,29.84,205.1,78.0,17.43,245.2,100.0,11.03,17.8,3,4.81,4.0,False,40.87
1979,NY,119,415,No,No,0,133.4,102.0,22.68,204.6,71.0,17.39,196.9,103.0,8.86,11.1,7,3.0,1.0,False,31.54
1980,AR,91,510,No,Yes,27,204.6,96.0,34.78,136.0,93.0,11.56,210.5,82.0,9.47,6.6,2,1.78,3.0,False,44.25
1981,MI,102,510,No,No,0,242.2,88.0,41.17,233.2,89.0,19.82,188.5,121.0,8.48,6.2,6,1.67,3.0,False,49.650000000000006
1982,OK,86,415,No,Yes,33,253.1,112.0,43.03,210.1,94.0,17.86,95.0,98.0,4.27,11.9,4,3.21,3.0,False,47.3
1983,TX,82,415,No,No,0,130.0,110.0,22.1,185.3,88.0,15.75,178.7,105.0,8.04,8.3,4,2.24,0.0,False,30.14
1984,NC,89,408,No,No,0,105.9,151.0,18.0,189.6,142.0,16.12,170.9,67.0,7.69,12.7,7,3.43,0.0,False,25.69
1985,ID,86,415,No,No,0,194.2,98.0,33.01,193.8,95.0,16.47,192.0,123.0,8.64,9.3,7,2.51,3.0,False,41.65
1986,IL,134,408,No,No,0,183.8,111.0,31.25,123.5,92.0,10.5,160.7,105.0,7.23,6.1,2,1.65,1.0,False,38.480000000000004
1987,OR,92,415,No,No,0,196.5,82.0,33.41,190.0,89.0,16.15,163.2,99.0,7.34,10.8,2,2.92,2.0,False,40.75
1988,SD,87,510,No,No,0,184.5,81.0,31.37,172.0,103.0,14.62,183.4,96.0,8.25,13.7,3,3.7,3.0,False,39.620000000000005
1989,NE,64,408,No,No,0,261.9,113.0,44.52,148.1,99.0,12.59,145.2,74.0,6.53,13.8,4,3.73,0.0,False,51.050000000000004
1990,RI,80,510,No,No,0,202.4,118.0,34.41,260.2,67.0,22.12,177.4,112.0,7.98,9.2,5,2.48,3.0,False,42.39
1991,MD,165,415,No,Yes,39,167.4,113.0,28.46,172.7,94.0,14.68,192.6,113.0,8.67,9.5,4,2.57,3.0,False,37.13
1992,ID,153,415,No,Yes,22,167.7,104.0,28.51,246.8,91.0,20.98,203.9,117.0,9.18,7.5,11,2.03,1.0,False,37.69
1993,ME,41,415,No,Yes,30,191.7,109.0,32.59,193.0,86.0,16.41,149.4,93.0,6.72,11.1,4,3.0,1.0,False,39.31
1994,SD,108,415,No,No,0,240.2,78.0,40.83,230.3,109.0,19.58,217.0,83.0,9.76,5.2,1,1.4,2.0,False,50.589999999999996
1995,NY,104,415,No,Yes,26,189.1,112.0,32.15,178.2,97.0,15.15,199.3,104.0,8.97,11.1,4,3.0,1.0,False,41.12
1996,DE,115,408,No,No,0,127.7,67.0,21.71,182.9,90.0,15.55,172.9,92.0,7.78,10.6,7,2.86,1.0,False,29.490000000000002
1997,OK,87,415,No,No,0,205.2,106.0,34.88,99.5,122.0,8.46,189.5,75.0,8.53,13.4,3,3.62,1.0,False,43.410000000000004
1998,SC,159,415,No,Yes,23,153.6,93.0,26.11,216.9,88.0,18.44,161.3,91.0,7.26,12.6,3,3.4,2.0,False,33.37
1999,IN,119,510,No,No,0,154.5,129.0,26.27,193.6,87.0,16.46,180.9,145.0,8.14,13.4,3,3.62,2.0,False,34.41
2000,NV,69,415,No,No,0,153.7,109.0,26.13,194.0,105.0,16.49,256.1,114.0,11.52,14.1,6,3.81,1.0,False,37.65
2001,IL,87,408,Yes,Yes,36,171.2,138.0,29.1,185.8,102.0,15.79,227.6,97.0,10.24,10.8,3,2.92,1.0,False,39.34
2002,SD,93,510,No,No,0,328.1,106.0,55.78,151.7,89.0,12.89,303.5,114.0,13.66,8.7,3,2.35,1.0,True,69.44
2003,OK,154,415,Yes,No,0,145.9,69.0,24.8,208.2,141.0,17.7,180.9,106.0,8.14,14.4,10,3.89,0.0,True,32.94
2004,KS,57,415,No,Yes,37,201.2,76.0,34.2,280.1,122.0,23.81,154.2,110.0,6.94,11.8,1,3.19,1.0,False,41.14
2005,IA,130,510,No,No,0,139.1,72.0,23.65,246.0,112.0,20.91,207.2,121.0,9.32,11.4,9,3.08,5.0,False,32.97
2006,NJ,151,415,No,No,0,118.9,128.0,20.21,278.3,65.0,23.66,194.8,61.0,8.77,13.2,10,3.56,2.0,False,28.98
2007,NJ,162,408,No,No,0,217.6,87.0,36.99,279.0,71.0,23.72,250.7,65.0,11.28,10.4,4,2.81,2.0,True,48.27
2008,MT,60,415,No,No,0,145.0,133.0,24.65,209.1,92.0,17.77,328.5,112.0,14.78,14.6,2,3.94,1.0,False,39.43
2009,IA,81,510,No,No,0,203.5,89.0,34.6,289.6,69.0,24.62,212.9,71.0,9.58,8.7,3,2.35,3.0,False,44.18
2010,WA,132,415,No,No,0,240.1,115.0,40.82,180.4,91.0,15.33,133.4,122.0,6.0,8.0,6,2.16,3.0,False,46.82
2011,NE,86,408,No,No,0,83.8,121.0,14.25,240.2,96.0,20.42,158.6,108.0,7.14,6.7,8,1.81,1.0,False,21.39
2012,TX,136,408,No,No,0,269.8,106.0,45.87,228.8,101.0,19.45,257.5,106.0,11.59,10.1,8,2.73,1.0,True,57.459999999999994
2013,MS,121,415,No,Yes,21,126.3,84.0,21.47,209.6,102.0,17.82,192.5,129.0,8.66,10.6,2,2.86,1.0,False,30.13
2014,IA,105,510,No,Yes,15,88.1,125.0,14.98,175.9,142.0,14.95,269.9,85.0,12.15,9.7,1,2.62,2.0,False,27.130000000000003
2015,WI,105,415,No,Yes,34,218.5,61.0,37.15,196.7,74.0,16.72,151.1,103.0,6.8,9.9,4,2.67,2.0,False,43.949999999999996
2016,MT,51,415,No,Yes,26,236.8,61.0,40.26,263.4,97.0,22.39,181.1,91.0,8.15,11.2,8,3.02,1.0,False,48.41
2017,GA,64,408,No,No,0,124.1,117.0,21.1,192.8,108.0,16.39,162.9,84.0,7.33,6.4,5,1.73,3.0,False,28.43
2018,MT,80,510,Yes,Yes,30,184.2,132.0,31.31,167.5,109.0,14.24,212.8,114.0,9.58,10.0,10,2.7,0.0,False,40.89
2019,ND,56,415,No,No,0,222.7,133.0,37.86,277.0,89.0,23.55,101.8,94.0,4.58,13.6,4,3.67,4.0,False,42.44
2020,VT,120,415,No,No,0,149.2,98.0,25.36,193.6,88.0,16.46,248.9,119.0,11.2,11.1,5,3.0,1.0,False,36.56
2021,SD,103,510,No,No,0,206.5,125.0,35.11,180.2,113.0,15.32,220.6,95.0,9.93,12.2,4,3.29,3.0,False,45.04
2022,OH,164,510,No,Yes,27,159.7,102.0,27.15,168.8,113.0,14.35,244.1,127.0,10.98,9.6,9,2.59,3.0,False,38.129999999999995
2023,OH,116,415,No,Yes,27,204.7,118.0,34.8,209.4,91.0,17.8,212.9,67.0,9.58,7.0,2,1.89,2.0,False,44.379999999999995
2024,MT,121,408,No,No,0,213.2,79.0,36.24,120.7,116.0,10.26,244.4,102.0,11.0,7.5,4,2.03,1.0,False,47.24
2025,IL,55,415,Yes,No,0,269.6,121.0,45.83,171.7,91.0,14.59,219.0,98.0,9.86,8.2,6,2.21,1.0,False,55.69
2026,NV,183,415,No,No,0,116.7,92.0,19.84,213.8,112.0,18.17,214.3,112.0,9.64,9.7,6,2.62,2.0,False,29.48
2027,UT,104,408,No,No,0,263.4,101.0,44.78,235.5,117.0,20.02,102.0,146.0,4.59,13.0,4,3.51,0.0,False,49.370000000000005
2028,NH,90,408,No,No,0,140.2,97.0,23.83,213.9,102.0,18.18,120.0,126.0,5.4,7.1,2,1.92,1.0,False,29.229999999999997
2029,LA,82,415,No,No,0,197.7,101.0,33.61,127.6,83.0,10.85,142.1,103.0,6.39,13.5,3,3.65,1.0,False,40.0
2030,VT,101,415,No,No,0,136.2,92.0,23.15,220.9,110.0,18.78,196.9,116.0,8.86,13.3,7,3.59,3.0,False,32.01
2031,NY,9,415,No,Yes,16,88.5,87.0,15.05,178.8,108.0,15.2,228.7,96.0,10.29,11.5,3,3.11,2.0,False,25.34
2032,CT,97,415,No,No,0,215.3,58.0,36.6,242.4,91.0,20.6,279.8,105.0,12.59,12.1,9,3.27,0.0,False,49.19
2033,KS,94,408,No,No,0,269.2,104.0,45.76,193.8,144.0,16.47,257.6,61.0,11.59,8.9,2,2.4,3.0,True,57.349999999999994
2034,MI,127,510,No,Yes,25,203.8,118.0,34.65,267.1,48.0,22.7,225.1,105.0,10.13,7.3,5,1.97,0.0,False,44.78
2035,SD,125,510,No,Yes,34,268.4,112.0,45.63,222.2,108.0,18.89,117.6,102.0,5.29,10.3,3,2.78,0.0,False,50.92
2036,ME,140,415,No,No,0,159.1,104.0,27.05,269.8,106.0,22.93,220.4,116.0,9.92,10.3,4,2.78,1.0,False,36.97
2037,MD,90,415,No,No,0,114.4,122.0,19.45,127.7,154.0,10.85,253.1,109.0,11.39,10.1,5,2.73,2.0,False,30.84
2038,VA,67,415,No,No,0,138.9,65.0,23.61,208.9,109.0,17.76,232.4,82.0,10.46,9.2,3,2.48,2.0,False,34.07
2039,NJ,113,415,No,No,0,186.0,55.0,31.62,237.4,105.0,20.18,148.1,83.0,6.66,12.2,6,3.29,1.0,False,38.28
2040,TN,121,510,No,Yes,26,170.4,91.0,28.97,254.5,90.0,21.63,219.6,122.0,9.88,15.1,5,4.08,0.0,False,38.85
2041,DC,93,408,No,No,0,164.5,95.0,27.97,230.9,87.0,19.63,149.9,91.0,6.75,9.9,3,2.67,4.0,False,34.72
2042,DC,121,408,No,No,0,168.6,121.0,28.66,168.6,94.0,14.33,95.3,59.0,4.29,12.3,4,3.32,1.0,False,32.95
2043,OR,53,408,No,No,0,261.2,119.0,44.4,250.8,105.0,21.32,176.0,112.0,7.92,9.8,2,2.65,0.0,True,52.32
2044,RI,75,415,No,No,0,190.5,91.0,32.39,178.4,75.0,15.16,162.4,113.0,7.31,13.1,5,3.54,1.0,False,39.7
2045,AK,132,510,No,No,0,181.1,121.0,30.79,314.4,109.0,26.72,246.7,81.0,11.1,4.2,9,1.13,2.0,False,41.89
2046,WI,162,408,No,No,0,177.1,131.0,30.11,114.7,122.0,9.75,153.6,88.0,6.91,6.5,6,1.76,3.0,False,37.019999999999996
2047,IN,140,415,No,No,0,160.5,114.0,27.29,240.5,103.0,20.44,233.5,121.0,10.51,11.3,4,3.05,1.0,False,37.8
2048,MI,91,408,No,No,0,134.7,116.0,22.9,295.3,98.0,25.1,195.5,121.0,8.8,6.6,5,1.78,2.0,False,31.7
2049,ID,73,510,No,Yes,28,198.2,107.0,33.69,139.1,123.0,11.82,199.1,139.0,8.96,8.8,1,2.38,2.0,False,42.65
2050,NH,95,408,Yes,No,0,228.9,134.0,38.91,255.7,71.0,21.73,208.0,120.0,9.36,10.1,2,2.73,4.0,True,48.269999999999996
2051,MN,145,408,No,No,0,241.7,137.0,41.09,135.8,100.0,11.54,277.6,123.0,12.49,13.1,3,3.54,0.0,False,53.580000000000005
2052,AZ,100,415,No,No,0,131.1,108.0,22.29,176.2,81.0,14.98,89.7,81.0,4.04,4.3,4,1.16,1.0,False,26.33
2053,MN,122,415,No,No,0,234.1,101.0,39.8,200.2,121.0,17.02,237.4,89.0,10.68,13.1,9,3.54,2.0,False,50.48
2054,MO,109,415,No,No,0,200.1,72.0,34.02,300.9,120.0,25.58,236.0,68.0,10.62,11.9,5,3.21,0.0,False,44.64
2055,AL,82,408,No,No,0,154.0,107.0,26.18,94.4,114.0,8.02,287.6,95.0,12.94,10.1,7,2.73,1.0,False,39.12
